driver_id,full_name,license_number,license_expiry,vehicle_id,hire_date,status,rating,total_deliveries,on_time_rate,contact_phone,base_location
DRV-0026,Tim Schmitz,DL-12801254,2021-11-19,,2020-09-29,on_leave,4.22,52,0.904,+491608901635,WH-16
DRV-0027,Jamie Peters,DL-18228933,2024-06-04,VEH-182,2022-09-13,active,3.54,3947,0.704,+491769947163,WH-19
DRV-0028,Julia Bauer,,2026-03-19,VEH-260,2022-02-15,active,4.99,6530,0.735,+491579798012,WH-15
DRV-0029,Anna Werner,DL-31991655,2023-07-26,VEH-170,2019-02-04,active,4.0,6893,0.807,+491588963061,WH-18
DRV-0030,Wolfgang Sauer,DL-69621072,2026-03-01,VEH-119,2021-03-31,active,4.64,4642,0.938,+491734000678,WH-18
DRV-0031,Andreas Herrmann,DL-10069822,2019-09-09,,2018-05-17,active,3.48,1677,0.794,+491754197900,WH-08
DRV-0032,Sandra Helmut,DL-74978760,2024-01-16,,2020-12-18,active,4.32,1946,0.752,+491719332523,WH-05
DRV-0033,Martina Günther,DL-66352330,2024-06-25,VEH-214,2022-03-20,active,3.65,7727,0.834,+491501954689,WH-07
DRV-0034,Thomas Lange,DL-35742342,2025-09-16,VEH-022,2021-05-14,active,2.95,2611,0.764,+491637370944,WH-11
DRV-0035,Alex Herrmann,DL-13060562,2022-02-21,VEH-233,2020-12-14,active,4.55,5032,0.944,+491637389043,WH-09
DRV-0036,Jessica Schneider,DL-47469718,2026-03-05,VEH-284,2024-04-28,active,4.47,4927,0.781,+491767675764,WH-13
DRV-0037,Daniel Kaiser,DL-89328047,2024-06-26,VEH-187,2022-03-22,active,2.77,7949,0.722,+491523172536,WH-15
DRV-0038,Anna Köhler,DL-19822836,2025-07-23,VEH-008,2022-09-11,active,4.89,1916,0.803,+491749709160,WH-18
DRV-0039,Stefan Orange,DL-44115653,2022-05-23,VEH-062,2019-07-02,on_leave,2.88,1990,0.73,+491569693724,WH-02
DRV-0040,Anna Richter,DL-52447220,2023-06-26,,2021-01-26,active,3.34,366,0.884,+491738553316,WH-05
DRV-0041,Jürgen Schäfer,DL-20493300,2024-02-25,VEH-119,2022-03-26,active,4.49,5951,0.854,+491539019251,WH-12
DRV-0042,Jordan Weiß,DL-37353195,2025-05-04,,2023-01-26,active,3.38,4633,0.815,+491753073639,WH-17
DRV-0043,Tina Sauer,DL-14995692,2023-07-09,VEH-053,2019-01-09,active,2.7,1460,0.867,+491743459237,WH-14
DRV-0044,Peter Richter,DL-69068740,2022-09-02,VEH-147,2020-10-18,active,2.61,3039,0.956,+491713115066,WH-14
DRV-0045,Hans Schäfer,DL-47046966,2023-05-31,VEH-280,2019-10-11,on_leave,3.98,1038,0.84,+491787402645,WH-17
DRV-0046,Thomas Bauer,DL-79713430,2026-04-01,VEH-071,2022-06-22,active,4.39,3635,0.802,+491528539705,WH-08
DRV-0047,Klaus Schmitz,DL-18158514,2023-12-31,VEH-281,2021-01-18,active,4.63,3305,0.94,+491667502886,WH-07
DRV-0048,Thomas Keller,DL-48507721,2025-06-23,VEH-263,2023-03-30,suspended,4.59,6158,0.912,+491517685719,WH-06
DRV-0049,Alex Braun,DL-99192376,2023-05-15,VEH-173,2021-03-15,active,3.39,4113,0.812,+491645957023,WH-13
DRV-0050,Michelle Schmitz,DL-20931863,2023-08-28,,2020-04-24,active,3.42,3153,0.797,+491666643700,WH-11
DRV-0051,Oliver Hoffmann,DL-49386637,2023-03-28,VEH-015,2020-04-06,on_leave,4.89,6146,0.917,+491516634534,WH-15
DRV-0052,Peter Hoffmann,DL-21394574,2028-06-03,VEH-084,2024-02-10,active,3.86,7763,0.903,+491605324482,WH-10
DRV-0053,Heike Fuchs,DL-67828279,2025-10-14,VEH-086,2021-04-22,active,3.55,3879,0.953,+491701466330,WH-09
DRV-0054,Nicole Franke,DL-50277673,2025-10-24,,2024-03-13,active,3.03,4421,0.958,+491545282215,WH-09
DRV-0055,Jennifer Braun,DL-53176904,2023-04-01,,2020-02-04,active,4.17,6214,0.833,+491665250461,WH-10
DRV-0056,Sabrina Werner,DL-56498391,2023-02-26,VEH-284,2019-08-31,active,4.18,4029,0.748,+491724401412,WH-18
DRV-0057,Jennifer Köhler,DL-66770832,2025-10-14,VEH-299,2023-05-17,active,3.08,3950,0.875,+491667465584,WH-08
DRV-0058,Wolfgang Wolf,DL-29884868,2026-09-17,VEH-050,2024-09-13,active,3.52,4651,0.732,+491593903745,WH-01
DRV-0059,Jordan Wolf,DL-76909026,2025-03-04,,2023-01-27,active,2.78,4641,0.95,+491774196852,WH-06
DRV-0060,Nicole Fischer,DL-69602383,2023-07-04,VEH-145,2021-12-20,active,2.99,5433,0.955,+491778472187,WH-04
DRV-0061,Christian Lange,DL-87678431,2023-08-18,VEH-273,2019-04-17,active,4.04,4168,0.96,+491778210847,WH-05
DRV-0062,Christian Köhler,DL-43633949,2029-07-19,VEH-109,2024-07-22,active,2.69,341,0.876,+491503667569,WH-08
DRV-0063,Nicole Neumann,DL-55585090,2026-09-17,VEH-207,2022-06-05,active,4.09,6604,0.788,+491632382192,WH-06
DRV-0064,Oliver König,DL-71532690,2028-06-05,VEH-064,2024-02-27,active,4.57,557,0.929,+491749125857,WH-03
DRV-0065,Christian Fischer,DL-22040580,2027-10-28,VEH-288,2023-05-30,suspended,4.76,4663,0.764,+491718333615,WH-20
DRV-0066,Michelle Vogel,DL-93915759,2022-10-04,VEH-210,2019-04-25,active,4.78,66,0.875,+491679124336,WH-16
DRV-0067,Wolfgang Schäfer,DL-91712102,2028-10-29,VEH-006,2024-07-12,suspended,4.18,1276,0.844,+491796457987,WH-03
DRV-0068,Klaus Schmidt,DL-86452144,2024-12-09,VEH-270,2020-06-27,active,4.17,3561,0.95,+491691506643,WH-02
DRV-0069,Jordan Heinrich,DL-45916799,2025-07-08,VEH-265,2022-06-15,active,4.44,4866,0.779,+491779555498,WH-12
DRV-0070,Chris Vogel,DL-27485539,2025-02-27,VEH-193,2021-11-19,active,3.29,3272,0.951,+491704819560,WH-20
DRV-0071,Chris Koch,DL-54523372,2024-10-02,VEH-074,2022-08-23,active,3.91,6102,0.733,0121684448897,WH-11
DRV-0072,Lars Braun,,2027-05-25,VEH-005,2023-04-18,active,3.7,407,0.825,+491699953737,WH-03
DRV-0073,Christian Bauer,DL-51598543,2025-03-13,VEH-175,2023-11-12,suspended,4.25,1162,0.96,+491524398376,WH-05
DRV-0074,Tina Fuchs,DL-14521025,2027-11-17,VEH-256,2023-02-20,active,4.78,3839,0.971,+491649790461,WH-06
DRV-0075,Michael Zimmermann,DL-67668845,2025-01-30,VEH-172,2022-06-18,active,4.08,1064,0.928,+491704383893,WH-18
DRV-0076,Hans Schäfer,DL-42233093,2023-10-30,VEH-088,2020-06-26,suspended,3.37,7523,0.726,+491731866438,WH-08
DRV-0077,Christian Koch,DL-41718154,2025-01-22,VEH-282,2021-02-17,active,4.7,199,0.91,+491584124495,WH-13
DRV-0078,Sabrina Schröder,DL-85399063,2027-01-11,VEH-213,2024-02-28,active,4.4,7736,0.808,+491656270478,WH-03
DRV-0079,Oliver Weiß,DL-82289623,2024-06-07,,2022-11-19,active,4.51,3356,0.707,+491696084905,WH-18
DRV-0080,Maria Müller,DL-29448930,2022-05-17,VEH-157,2019-10-19,active,3.38,2965,0.93,+491506603569,WH-05
DRV-0081,Sandra König,,2022-03-13,VEH-152,2018-12-06,active,2.63,4265,0.887,+491586589569,WH-03
DRV-0082,Thomas Schmitz,DL-60612572,2022-05-15,VEH-165,2021-02-05,active,2.65,5377,0.804,+491538481135,WH-05
DRV-0083,Sebastian Braun,,2024-04-29,VEH-092,18/04/2022,active,3.8,1980,0.701,+491687965009,WH-13
DRV-0084,Jordan Bauer,DL-78808908,2024-05-24,VEH-275,2019-10-19,suspended,3.27,1466,0.887,045341136616,WH-02
DRV-0085,Jordan Franke,DL-52878448,2026-08-13,VEH-282,2023-04-06,active,4.61,5607,0.778,+491534874859,WH-11
DRV-0086,Michael Zimmermann,DL-23227149,2020-09-15,VEH-280,2019-08-22,active,4.46,2609,0.728,+491576036803,WH-02
DRV-0087,Nicole Zimmermann,DL-65219572,2026-06-20,,2024-12-28,active,2.6,6252,0.972,+491747849169,WH-14
DRV-0088,Peter Hoffmann,DL-16713256,2024-11-03,VEH-226,2021-08-06,active,4.61,7852,0.933,+491787113179,WH-11
DRV-0089,Andreas Hahn,DL-24980804,2028-08-13,VEH-201,2023-08-31,active,2.51,1499,0.89,+491683099335,WH-07
DRV-0090,Andreas Orange,DL-24133215,2025-06-09,VEH-176,2023-04-11,active,4.77,6005,0.775,+491676584083,WH-06
DRV-0091,Martina Hahn,DL-50536047,2026-01-25,VEH-198,2022-01-06,active,2.92,1172,0.784,+491765235590,WH-06
DRV-0092,Tim Richter,DL-99109800,2024-12-20,VEH-107,2022-04-02,active,3.4,4941,0.721,+491517785206,WH-04
DRV-0093,Sebastian Schwarz,DL-75919886,2025-09-10,VEH-087,2024-05-07,active,3.12,5539,0.824,+491531955221,WH-16
DRV-0094,Hans Neumann,DL-35019437,2026-07-06,VEH-281,2021-12-21,active,4.75,2383,0.791,+491639906342,WH-20
DRV-0095,Daniel Gelb,DL-45148677,2020-05-19,VEH-052,2019-04-17,on_leave,3.85,2924,0.713,+491755400435,WH-09
DRV-0096,Michael Hartmann,DL-26773307,2025-12-24,VEH-043,2021-10-15,active,3.2,6444,0.869,+491787630840,WH-20
DRV-0097,Tina Werner,DL-71992112,2022-06-30,,2021-03-25,active,3.67,6965,0.892,+491501413532,WH-04
DRV-0098,Daniel Peters,DL-65551943,2024-04-13,VEH-221,2021-12-18,active,3.76,6925,0.77,+491524686753,WH-04
DRV-0099,Jürgen Günther,DL-12483138,2021-09-13,VEH-082,2020-03-11,active,4.79,5132,0.856,+491523698953,WH-09
DRV-0100,Alex Günther,DL-44049603,2026-05-28,VEH-034,2024-05-20,active,3.9,2204,0.823,+491726001007,WH-09
DRV-0101,Jessica Weiß,DL-60152312,2020-10-23,VEH-092,2018-12-12,suspended,4.08,2557,0.855,+491587932041,WH-05
DRV-0102,Jamie Franke,DL-98629519,2028-10-26,VEH-159,2024-03-12,active,3.24,5414,0.934,+491774567439,WH-14
DRV-0103,Martina Neumann,DL-12921133,2024-08-04,VEH-149,2023-03-08,active,3.04,7275,0.771,+491607992518,WH-15
DRV-0104,Michael Helmut,DL-59710611,2022-03-20,VEH-182,2020-06-05,active,4.45,1205,0.848,+491786986770,WH-01
DRV-0105,Klaus Orange,DL-69020653,2021-10-31,VEH-006,2019-04-07,active,4.63,6183,0.87,+491779131323,WH-08
DRV-0106,Maria Gelb,DL-66089322,2019-08-01,VEH-017,2018-04-17,active,2.5,5322,0.743,+491685421403,WH-12
DRV-0107,Anna Orange,DL-28072920,2023-10-22,VEH-277,2019-05-19,active,3.13,1350,0.801,+491726347225,WH-15
DRV-0108,Christian Schröder,,2023-10-26,VEH-283,2021-12-06,active,4.99,4092,0.934,+491502979011,WH-13
DRV-0109,Nicole Heinrich,DL-42888993,2028-02-01,,2024-04-26,active,2.86,5171,0.732,+491616539633,WH-18
DRV-0110,Jamie Fischer,,2025-02-03,VEH-162,2021-02-12,active,4.26,7127,0.824,+491545983652,WH-11
DRV-0111,Mathias Klein,DL-38943709,2021-05-06,VEH-300,2020-04-11,active,4.56,7371,0.9,+491792950952,WH-05
DRV-0112,Alex Jung,DL-68982854,2025-01-10,VEH-163,2022-09-29,suspended,4.57,642,0.858,+491507347715,WH-06
DRV-0113,Sabrina Lange,DL-90408861,2027-11-03,VEH-152,2023-04-13,active,3.86,5148,0.886,+491788388197,WH-06
DRV-0114,Martina Schmitz,DL-61069630,2024-06-13,VEH-080,2020-07-31,active,3.71,6604,0.957,+491753531859,WH-16
DRV-0115,Michelle Peters,DL-85297551,2027-03-30,VEH-202,2023-06-01,active,3.11,1158,0.882,+491538937772,WH-19
DRV-0116,Andreas Schubert,DL-93337363,2023-03-01,VEH-226,2018-07-06,active,4.81,3075,0.884,+491672556313,WH-16
DRV-0117,Stefan Koch,DL-80594780,2021-06-18,,2019-05-01,active,3.64,3588,0.917,+491588428632,WH-09
DRV-0118,Sebastian Köhler,DL-80011220,2025-11-10,,2023-05-15,active,2.51,4363,0.98,+491547473809,WH-16
DRV-0119,Tim Herrmann,DL-79675474,2027-09-18,VEH-279,2023-07-13,active,2.96,2041,0.752,+491624123928,WH-06
DRV-0120,Maria König,DL-76431628,2027-02-10,VEH-269,2023-03-08,active,3.01,6824,0.864,+491619156096,WH-02
DRV-0121,Tina Werner,DL-64797375,2022-10-13,VEH-078,2020-06-30,suspended,2.93,2127,0.801,+491683482114,WH-07
DRV-0122,Jürgen Neumann,DL-92464260,2026-10-30,VEH-189,2023-12-10,active,4.27,7121,0.843,+491636967005,WH-03
DRV-0123,Frank Jung,DL-44839535,2024-02-15,VEH-254,2019-04-02,active,4.85,7439,0.804,+491665036066,WH-03
DRV-0124,Sandra Herrmann,DL-74884033,2022-03-07,VEH-223,2019-02-08,active,4.57,2254,0.782,+491761420287,WH-20
DRV-0125,Jürgen Weiß,DL-53714170,2023-01-28,VEH-174,2019-01-03,suspended,3.88,4007,0.756,+491707295177,WH-11
DRV-0126,Frank Sauer,DL-20336346,2025-05-19,VEH-241,2022-06-10,active,3.08,720,0.773,+491719632620,WH-09
DRV-0127,Uwe Friedrich,,2023-08-17,VEH-185,2020-02-27,active,3.83,2161,0.744,+491511389797,WH-20
DRV-0128,Wolfgang Wolf,DL-77508337,2022-09-08,VEH-253,2021-04-17,active,3.1,4321,0.717,+491695912639,WH-13
DRV-0129,Jürgen Bauer,DL-81867577,2025-11-18,VEH-263,2021-05-19,active,3.49,1132,0.876,+491662338532,WH-02
DRV-0130,Michael Neumann,,2019-10-12,VEH-096,2018-09-05,active,3.91,2314,0.753,+491696379136,WH-04
DRV-0131,Stefan Wolf,DL-12327322,2022-06-16,VEH-159,2018-10-15,active,5.0,6478,0.928,+491643570704,WH-15
DRV-0132,Chris Schröder,DL-10351266,2021-06-30,VEH-110,2020-01-08,active,4.77,2913,0.835,+491538190312,WH-11
DRV-0133,Mathias Schubert,DL-13417300,2020-11-15,VEH-155,2018-12-24,active,3.88,6492,0.831,+491539174278,WH-08
DRV-0134,Oliver Friedrich,DL-51288804,2022-04-26,VEH-249,2019-01-10,active,5.0,6997,0.773,+491694458906,WH-16
DRV-0135,Sandra Braun,DL-54285618,2022-08-20,VEH-138,2018-12-26,active,3.83,2890,0.762,+491607404822,WH-01
DRV-0136,Maria Vogel,DL-25081547,2024-11-28,VEH-300,2021-10-25,active,3.52,5827,0.786,+491662421482,WH-12
DRV-0137,Marco Bauer,DL-40957713,2024-03-26,VEH-117,2022-10-31,on_leave,3.44,5317,0.754,+491791074358,WH-17
DRV-0138,Maria Weiß,DL-23097924,2025-11-11,,2022-05-13,active,4.85,141,0.817,+491704122446,WH-16
DRV-0139,Jürgen Vogel,DL-82473449,2022-04-20,VEH-263,2020-10-30,active,2.87,664,0.972,+491663493864,WH-16
DRV-0140,Chris Koch,DL-55385214,2023-12-20,,2021-07-26,on_leave,4.73,2967,0.814,+491751302392,WH-06
DRV-0141,Michael Franke,DL-23151364,2024-11-20,VEH-276,2023-01-06,active,3.47,5479,0.934,+491728636061,WH-01
DRV-0142,Jamie Fuchs,DL-47094766,2028-11-01,VEH-081,2024-06-27,active,3.22,5651,0.844,+491675279844,WH-15
DRV-0143,Wolfgang König,DL-76486595,2021-09-30,VEH-108,2020-04-25,active,3.04,7980,0.74,+491606817480,WH-16
DRV-0144,Tina Gelb,DL-44266710,2026-12-03,VEH-154,2023-11-01,active,3.13,4348,0.958,+491724815736,WH-03
DRV-0145,Michelle Günther,DL-26583277,2020-08-21,VEH-152,2019-05-19,active,4.88,6241,0.741,+491532200956,WH-05
DRV-0146,Daniel Keller,DL-43536561,2022-11-01,VEH-169,2018-03-16,active,3.98,1757,0.954,+491702541964,WH-10
DRV-0147,Maria Müller,DL-38574994,2022-10-23,VEH-029,2018-05-01,active,3.02,1339,0.837,+491766769933,WH-11
DRV-0148,Alex Hahn,DL-71813399,2025-01-28,VEH-228,2021-12-31,active,4.32,7915,0.93,+491681009303,WH-06
DRV-0149,Martina Hartmann,DL-58845632,2027-05-19,VEH-032,2024-02-09,active,2.63,572,0.803,+491683225324,WH-12
DRV-0150,Maria Neumann,DL-76544574,2028-01-10,VEH-225,2024-12-30,active,4.93,1242,0.817,+491651233525,WH-02
DRV-0151,Tina Hoffmann,DL-52225922,2025-12-14,VEH-244,2021-09-13,active,2.74,4335,0.758,+491768307506,WH-11
DRV-0152,Jordan Weiß,DL-71508242,2021-12-18,VEH-156,2018-04-11,active,4.24,3887,0.872,+491555717972,WH-09
DRV-0153,Daniel Richter,DL-73996105,2024-08-23,VEH-040,2021-02-16,active,4.98,2806,0.841,+491614180517,WH-18
DRV-0154,Sandra Köhler,DL-17096145,2024-08-12,VEH-010,2023-07-11,active,4.19,3706,0.778,+491616665583,WH-03
DRV-0155,Hans Hoffmann,DL-20816981,2024-03-24,VEH-190,2021-07-14,active,3.55,4310,0.874,+491662112837,WH-02
DRV-0156,Mathias Schmitz,DL-75029493,2028-01-16,VEH-071,2024-12-13,active,2.72,5629,0.973,+491736857652,WH-20
DRV-0157,Peter Hoffmann,DL-87627773,2024-04-10,VEH-081,2022-11-17,suspended,3.13,2904,0.948,+491539518124,WH-16
DRV-0158,Sebastian Wolf,DL-93889404,2026-01-27,VEH-165,2024-02-02,active,3.31,396,0.9,+491686885918,WH-12
DRV-0159,Klaus Gelb,DL-90109366,2024-05-14,VEH-253,2019-11-06,active,4.54,1360,0.863,+491569991562,WH-12
DRV-0160,Lars Neumann,DL-64767776,2025-07-15,VEH-255,2021-06-07,active,3.26,2236,0.912,+491733161012,WH-04
DRV-0161,Sebastian Koch,DL-51170835,2028-09-20,VEH-108,2024-08-20,active,2.9,2313,0.736,+491799906999,WH-14
DRV-0162,Sabrina Jung,DL-57747522,2026-08-21,VEH-157,2023-04-24,active,3.36,4013,0.85,+491719350257,WH-15
DRV-0163,Wolfgang Müller,DL-40622174,2023-08-08,VEH-279,2019-11-14,active,4.63,4182,0.852,+491575731408,WH-02
DRV-0164,Anna Schwarz,DL-48482095,2025-01-23,VEH-020,2020-05-24,active,4.52,1551,0.763,+491686131179,WH-18
DRV-0165,Maria Schröder,DL-11028899,2024-09-19,VEH-135,2023-03-13,active,3.81,4671,0.755,+491785517099,WH-16
DRV-0166,Heike Zimmermann,DL-19068855,2026-06-21,VEH-216,2024-05-07,active,3.58,7082,0.961,+491701214224,WH-03
DRV-0167,Peter Fuchs,DL-19477848,2028-09-11,VEH-185,2023-12-23,on_leave,3.73,3394,0.962,+491656634850,WH-08
DRV-0168,Peter Koch,DL-21824370,2028-08-13,,2024-05-30,active,3.01,506,0.873,+491739763086,WH-16
DRV-0169,Maria Lange,DL-29040689,2024-06-16,VEH-015,2021-02-15,active,3.14,6415,0.882,+491689866501,WH-08
DRV-0170,Klaus Weber,DL-81428669,2023-08-24,VEH-101,2021-05-12,active,4.8,251,0.884,+491593350018,WH-10
DRV-0171,Chris Schwarz,DL-10773239,2027-11-27,VEH-006,2022-12-24,active,2.59,7363,0.764,+491554696237,WH-10
DRV-0172,Mathias Krüger,DL-72324569,2020-11-01,VEH-130,2018-01-10,active,2.79,3855,0.928,+491769474413,WH-19
DRV-0173,Jennifer Helmut,DL-99671285,2023-10-21,VEH-096,2022-02-05,suspended,4.77,4599,0.96,+491753819418,WH-12
DRV-0174,Sandra Klein,DL-62424586,2024-10-17,VEH-059,2023-01-15,active,4.35,739,0.85,+491745799137,WH-04
DRV-0175,Sebastian Schubert,DL-16313642,2026-02-12,VEH-161,2023-12-30,active,4.37,1270,0.846,+491629682781,WH-05
DRV-0176,Sabrina Gelb,DL-91132756,2025-02-12,VEH-125,2022-04-09,on_leave,3.74,7728,0.78,+491714813889,WH-04
DRV-0177,Sabrina Schmitz,DL-98315594,2020-08-05,VEH-067,2018-05-18,active,3.2,5884,0.756,+491572084937,WH-18
DRV-0178,Michelle Herrmann,DL-22169151,2021-08-27,VEH-168,2019-09-22,active,3.31,3373,0.815,+491769840708,WH-06
DRV-0179,Heike Peters,DL-76343297,2025-05-28,VEH-055,2021-11-11,suspended,3.1,635,0.883,+491559480475,WH-12
DRV-0180,Jessica Gelb,DL-20978943,2028-01-09,VEH-112,2023-12-05,active,2.52,4119,0.769,+491775990213,WH-19
DRV-0181,Alex Schmidt,DL-45557369,2022-12-27,VEH-093,2018-08-11,active,2.79,161,0.968,+491676364697,WH-02
DRV-0182,Jamie Richter,DL-29588822,2026-04-24,VEH-015,2024-01-05,active,3.12,767,0.719,+491551378950,WH-14
DRV-0183,Tina Schneider,DL-46318679,2022-08-12,VEH-156,2021-04-27,active,4.57,7442,0.77,+491654120202,WH-02
DRV-0184,Sandra Koch,DL-28860365,2026-10-03,VEH-117,2022-04-29,active,3.3,7023,0.758,+491786588633,WH-10
DRV-0185,Martina Peters,DL-50891015,2021-07-25,VEH-129,2018-02-28,active,3.96,2589,0.767,+491641486229,WH-16
DRV-0186,Martina Jung,DL-48245502,2027-02-27,VEH-009,2022-08-16,active,3.21,1553,0.81,+491516978219,WH-08
DRV-0187,Maria Koch,DL-58685078,2025-02-25,VEH-089,2020-04-23,suspended,3.26,6884,0.733,+491519188593,WH-02
DRV-0188,Klaus Gelb,DL-40216376,2029-06-22,VEH-082,2024-08-24,on_leave,4.85,7272,0.742,+491511143001,WH-19
DRV-0189,Mathias Orange,DL-45911479,2025-12-29,VEH-169,2023-10-12,active,3.96,4496,0.776,+491535812249,WH-05
DRV-0190,Chris Friedrich,DL-54490373,2026-03-17,VEH-087,2021-06-19,active,3.44,1457,0.867,+491773043808,WH-05
DRV-0191,Jennifer Schwarz,DL-61630154,2023-10-12,VEH-273,2021-01-30,on_leave,2.87,1032,0.816,+491723148860,WH-20
DRV-0192,Alex Müller,DL-95848854,2020-05-22,VEH-111,2018-10-31,active,4.79,573,0.904,+491758581069,WH-13
DRV-0193,Frank Werner,DL-81068034,2027-12-19,VEH-226,2023-02-18,active,4.71,2439,0.949,+491582806249,WH-16
DRV-0194,Marco Schäfer,DL-36893193,2025-06-08,VEH-054,2021-03-29,active,4.36,5779,0.778,+491593853927,WH-07
DRV-0195,Jennifer Hoffmann,DL-29802799,2026-01-10,VEH-026,2021-09-11,active,4.19,3379,0.903,+491583668005,WH-15
DRV-0196,Stefan Müller,DL-85396357,2021-05-08,VEH-112,2019-06-09,active,2.84,3786,0.917,+491776629974,WH-12
DRV-0197,Jamie Helmut,DL-36710959,2025-04-07,VEH-241,2021-06-17,active,4.91,5373,0.842,+491671969077,WH-13
DRV-0198,Martina Orange,,2026-08-13,VEH-182,2023-01-23,active,3.28,4711,0.828,+491545456935,WH-10
DRV-0199,Thomas Weiß,DL-33563757,2024-10-12,VEH-266,2023-01-09,active,4.21,7234,0.92,+491781135225,WH-01
DRV-0200,Peter Weber,DL-99417955,2027-10-21,VEH-230,2022-11-13,active,4.46,2900,0.835,+491529936993,WH-12
DRV-0201,Nicole Schäfer,DL-52188359,2025-08-06,VEH-116,2020-08-09,active,2.63,6759,0.955,+491751801331,WH-14
DRV-0202,Jessica Vogel,DL-64809492,2024-07-28,VEH-259,2022-02-14,active,4.76,7416,0.879,+491745332821,WH-03
DRV-0203,Klaus Köhler,DL-54231243,2022-09-14,VEH-038,2018-05-27,active,4.05,5381,0.962,+491768379012,WH-19
DRV-0204,Sebastian Herrmann,DL-16839378,2022-05-29,VEH-102,2018-01-13,active,4.96,7539,0.765,+491707765394,WH-02
DRV-0205,Uwe Weiß,DL-14298681,2021-09-03,VEH-123,07/10/2018,active,2.69,2408,0.973,+491777140638,WH-11
DRV-0206,Jordan Schmidt,DL-97271258,2027-02-12,,2024-01-07,active,2.76,6535,0.85,+491725457750,WH-11
DRV-0207,Tina Hoffmann,DL-12711905,2023-10-10,VEH-076,2020-01-25,active,4.49,7892,0.827,+491622453709,WH-18
DRV-0208,Klaus Heinrich,DL-23874871,2027-04-11,VEH-150,2024-10-21,active,4.29,2743,0.744,+491607693701,WH-05
DRV-0209,Hans Fischer,DL-70936878,2027-01-04,VEH-067,2024-10-16,suspended,4.01,2172,0.738,+491629392761,WH-03
